,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
480,Toyota,Innova,2012,1st,Manual,2012-2013 2.5 G (Diesel) 7 Seater BS IV,"60,820 km",Diesel,"₹ 8,00,000"
481,Audi,Q7,2019,2nd,Automatic,45 TDI Quattro Technology,50000.0 km,Diesel,"₹ 58,00,000"
482,Maruti Suzuki,Swift,2010,2nd,Manual,2004-2010 Ldi BSIV,140 km,Diesel,"₹ 2,80,000"
483,Maruti Suzuki,Swift Dzire,2015,1st,Manual,VDI,38368.0 km,Diesel,"₹ 6,45,000"
484,Honda,City,2014,1st,Manual,2014-2015 i DTEC VX Option,67000.0 km,Diesel,"₹ 5,95,000"
485,Chevrolet,Enjoy,2015,1st,Manual,1.3 TCDi LT 7,87000.0 km,Diesel,"₹ 3,99,000"
486,Tata,Others,2013,2nd,Manual,Others,1.0 km,Diesel,"₹ 1,15,000"
487,Land Rover,Range Rover Evoque,2016,2nd,Manual,HSE,"45,000 km",Diesel,"₹ 42,00,000"
488,Tata,Others,2016,2nd,Manual,Others,17000.0 km,Diesel,"₹ 2,65,000"
489,Volkswagen,Vento,2014,1st,Manual,1.6 Highline,90000.0 km,Petrol,"₹ 5,00,000"
490,Maruti Suzuki,Swift,2015,2nd,Manual,VDI BS IV,"131,000 km",Diesel,"₹ 5,20,000"
491,BMW,5 Series,2012,1st,Automatic,520d Luxury Line,"78,000 km",Diesel,"₹ 13,90,000"
492,BMW,i8,2017,2nd,Automatic,Hybrid,7000.0 km,Petrol,"₹ 89,00,000"
493,Maruti Suzuki,Wagon R,2012,2nd,Manual,LXI,56250.0 km,Petrol,"₹ 2,50,000"
494,Skoda,Octavia,2014,1st,Manual,2013-2017 Elegance 2.0 TDI AT,93000.0 km,Diesel,"₹ 10,50,000"
495,Toyota,Fortuner,2018,1st,Automatic,2011-2016 4x2 AT,199999.0 km,Diesel,"₹ 27,99,000"
496,Skoda,Octavia,2018,1st,Automatic,1.8 TSI AT L K,28000.0 km,Petrol,"₹ 21,90,000"
497,Ford,Ecosport,2018,1st,Automatic,1.5 Petrol Titanium Plus,20000.0 km,Petrol,"₹ 9,50,000"
498,BMW,7 Series,2006,3rd,Automatic,760Li,65000.0 km,Petrol,"₹ 20,00,000"
499,Hyundai,EON,2016,1st,Manual,Sportz,20000.0 km,Petrol,"₹ 3,10,000"
500,Hyundai,Elite i20,2015,1st,Manual,Asta Option Diesel,40212.0 km,Diesel,"₹ 5,50,000"
501,Toyota,Innova,2013,1st,Manual,2.5 G (Diesel) 8 - Seater,72000.0 km,Diesel,"₹ 5,25,000"
502,Honda,CR-V,2006,1st,Manual,2004-2007 2.4L 4WD,65000.0 km,Petrol,"₹ 2,50,000"
503,BMW,7 Series,2009,2nd,Automatic,740Li,61000.0 km,Petrol,"₹ 8,99,000"
504,Honda,Brio,2012,1st,Manual,1.2 S MT,48000.0 km,Petrol,"₹ 2,10,000"
505,Mercedes-Benz,EQC,2020,,Automatic,,3000.0 km,Electric,"₹ 85,00,000"
506,Bentley,Mulsanne,2012,2nd,Automatic,6.8,18000.0 km,Petrol,"₹ 2,50,00,000"
507,Honda,WR-V,2019,1st,Manual,i-DTEC VX,31000.0 km,Diesel,"₹ 9,50,000"
508,Mahindra,Scorpio,2015,1st,Manual,S10,55000.0 km,Diesel,"₹ 9,00,000"
509,Porsche,Boxster,2014,3rd,Automatic,S,30000.0 km,Petrol,"₹ 45,00,000"
510,Maruti Suzuki,Celerio,2014,1st,Automatic,VXI Optional AMT,58500.0 km,Petrol,"₹ 3,70,000"
511,Honda,Jazz,2016,2nd,Manual,V,25000.0 km,Petrol,"₹ 5,79,999"
512,Maruti Suzuki,Swift Dzire,2010,1st,Manual,VXI,81756.0 km,Petrol,"₹ 2,58,000"
513,Maruti Suzuki,Swift,2021,1st,Manual,AMT ZXI,5000.0 km,Petrol,"₹ 7,85,000"
514,Maruti Suzuki,Ertiga,2018,1st,Manual,SHVS ZDI Plus,74000.0 km,Diesel,"₹ 10,60,000"
515,Maruti Suzuki,Swift,2013,1st,Manual,VDI BS IV,98000.0 km,Diesel,"₹ 2,30,000"
516,Toyota,Glanza,2019,1st,Manual,V,32000.0 km,Petrol,"₹ 8,00,000"
517,Premier,Rio,2014,, ,LX,59000.0 km,Diesel,"₹ 3,15,000"
518,Maruti Suzuki,Swift Dzire,2017,1st,Manual,LXI Option,57300.0 km,CNG & Hybrids,"₹ 4,45,000"
519,Maruti Suzuki,800,2003,2nd,Manual,AC BSIII,75000.0 km,Petrol,"₹ 68,000"
520,Hyundai,Elite i20,2018,1st,Manual,Sportz 1.2,35808.0 km,Petrol,"₹ 6,02,100"
521,Mahindra,Scorpio,2018,1st,Manual,S3,23000.0 km,Diesel,"₹ 9,80,000"
522,Ford,Figo,2012,1st,Manual,Titanium Diesel,87000.0 km,Diesel,"₹ 2,40,000"
523,Toyota,Corolla Altis,2017,1st,Automatic,1.8 VL CVT,25000.0 km,Petrol,"₹ 16,50,000"
524,Maruti Suzuki,Swift,2013,2nd,Manual,2011-2014 VXI,67000.0 km,Petrol,"₹ 3,99,000"
525,Toyota,Land Cruiser,2014,1st,Automatic,VX Premium,90000.0 km,Diesel,"₹ 85,00,000"
526,Honda,City,2012,1st,Manual,2011-2013 V MT,83000.0 km,Petrol,"₹ 4,50,000"
527,Maruti Suzuki,Swift,2013,1st,Manual,VXi 1.2 ABS BS-IV,46000.0 km,Petrol,"₹ 3,85,000"
528,Hyundai,Elite i20,2016,1st,Manual,Magna 1.2,27000.0 km,Petrol,"₹ 5,85,000"
529,Maruti Suzuki,Swift Dzire,2016,1st,Manual,VXI Optional,37916.0 km,Petrol,"₹ 5,60,000"
530,Maruti Suzuki,Zen Estilo,2009,2nd,Manual,LXI Green (CNG),65000.0 km,CNG & Hybrids,"₹ 1,75,000"
531,Mahindra,Scorpio,2018,1st,Manual,S3,45000.0 km,Diesel,"₹ 9,35,000"
532,Mahindra,XUV500,2019,1st,Manual,W5,49000.0 km,Diesel,"₹ 10,50,000"
533,Hyundai,EON,2018,1st,Manual,Sportz,22000.0 km,Petrol,"₹ 3,74,999"
534,Toyota,Fortuner,2013,2nd,Automatic,3.0 4x2 Automatic,87001.0 km,Diesel,"₹ 12,95,000"
535,Mahindra,Scorpio,2018,1st,Manual,S3,39000.0 km,Diesel,"₹ 10,25,000"
536,Skoda,Superb,2012,1st,Automatic,2008-2013 2.8 V6 AT,83000.0 km,Diesel,"₹ 4,99,000"
537,Maruti Suzuki,Swift Dzire,2017,1st,Automatic,VXi AT,43000.0 km,Petrol,"₹ 5,98,000"
538,Maruti Suzuki,A-Star,2010,1st,Automatic,"Vxi (ABS), Automatic",38000.0 km,Petrol,"₹ 2,65,000"
539,Maruti Suzuki,Zen Estilo,2007,1st,Manual,1.1 LXI BSIII,51000.0 km,Petrol,"₹ 1,10,000"
