,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
115,Ford,Ecosport,2018,1st,Manual,Signature Edition Diesel,60000.0 km,Diesel,"₹ 8,50,000"
116,Maruti Suzuki,Wagon R 1.0,2018,1st,Manual,1.0 VXi,35000.0 km,Petrol,"₹ 4,25,000"
117,Maruti Suzuki,Wagon R,2011,2nd,Manual,2010-2012 AX BSII,86000.0 km,Petrol,"₹ 2,15,000"
118,Tata,Indica,2015,3rd,Manual,DLE - BSIII,"120,000 km",Diesel,"₹ 75,000"
119,Hyundai,Creta,2019,1st,Manual,1.4 E Plus Diesel,57000.0 km,Diesel,"₹ 9,89,000"
120,Tata,Indigo CS,2007,2nd,Manual,CS LS TDI,"75,000 km",Diesel,"₹ 65,000"
121,Toyota,Fortuner,2012,,Manual,3.0 4x4 Manual,180260.0 km,Diesel,"₹ 12,80,000"
122,Renault,Duster,2014,1st,Manual,1.5 Petrol RXE,80000.0 km,Petrol,"₹ 4,98,000"
123,Maruti Suzuki,Baleno,2019,1st,Manual,1.2 Zeta,17000.0 km,Petrol,"₹ 7,20,000"
124,Hyundai,i20,2019,1st,Manual,Sportz Plus CVT,7000.0 km,Petrol,"₹ 7,25,000"
125,Honda,Amaze,2017,,Manual,,17297.0 km,Petrol,"₹ 5,59,000"
126,Maruti Suzuki,Swift,2013,2nd,Manual,2011-2014 VXI,"76,500 km",Petrol,"₹ 4,39,000"
127,Mahindra,XUV500,2016,2nd,Automatic,AT W6 2WD,41000.0 km,Diesel,"₹ 9,95,000"
128,BMW,3 Series GT,2014,2nd,Automatic,3 Series GT 320d GT Luxury Line,70000.0 km,Diesel,"₹ 18,42,500"
129,Renault,Duster,2012,2nd,Manual,110PS Diesel RxZ,"113,000 km",Diesel,"₹ 4,10,000"
130,Toyota,Fortuner,2020,1st,Automatic,3.0 4x2 Automatic,35000.0 km,Diesel,"₹ 37,00,000"
131,Maruti Suzuki,Alto,2012,2nd,Manual,LXi BS-IV,"39,000 km",Petrol,"₹ 2,55,000"
132,Maruti Suzuki,Swift Dzire,2017,1st,Manual,VXI,56000.0 km,CNG & Hybrids,"₹ 4,65,000"
133,Renault,KWID,2019,1st,Manual,1.0 RXT AMT Opt,30000.0 km,Petrol,"₹ 4,25,000"
134,Skoda,Rapid,2018,2nd,Manual,1.5 TDI Ambition,47000.0 km,Diesel,"₹ 6,99,000"
135,Hyundai,Santro Xing,2013,1st,Manual,GLS,70000.0 km,Petrol,"₹ 2,15,000"
136,Maruti Suzuki,Ritz,2014,1st,Manual,VXi,86400.0 km,Petrol,"₹ 3,75,000"
137,Lamborghini,Others,2020.0,1st,Automatic,,800.0 km,Petrol,"₹ 2,65,00,000"
138,Maruti Suzuki,Swift,2013,1st, ,VDI,76000.0 km,Diesel,"₹ 3,50,000"
139,Maruti Suzuki,Wagon R 1.0,2018,1st,Manual,1.0 VXi,35000.0 km,Petrol,"₹ 4,25,000"
140,Ford,Figo,2013,1st,Manual,Titanium,80000.0 km,Diesel,"₹ 3,60,000"
141,Hyundai,EON,2015,1st,Manual,1.0 Magna Plus Option O,56500.0 km,Petrol,"₹ 3,10,000"
142,Maruti Suzuki,Celerio X,2018,1st,Automatic,VXI Option,45000.0 km,Petrol,"₹ 4,95,000"
143,Honda,City,2016,1st,Manual,2011-2013 V MT,75000.0 km,Petrol,"₹ 6,95,000"
144,Mahindra,TUV 300,2017,2nd,Manual,T4,41000.0 km,Diesel,"₹ 6,45,000"
145,Hyundai,Creta,2016,2nd,Manual,1.6 CRDi SX,"54,000 km",Diesel,"₹ 8,30,000"
146,Volkswagen,Passat,2012,1st,Manual,2010-2014 Diesel Comfortline 2.0 TDI,90000.0 km,Diesel,"₹ 5,25,000"
147,Maruti Suzuki,Ertiga,2016,1st,Manual,SHVS VDI,72000.0 km,Diesel,"₹ 6,15,000"
148,Toyota,Innova,2013,2nd,Manual,2.5 GX (Diesel) 7 Seater,125000.0 km,Diesel,"₹ 5,49,000"
149,Maruti Suzuki,Swift Dzire,2013,1st,Manual,ZXI 1.2,80000.0 km,Petrol,"₹ 4,65,000"
150,Ford,Ecosport,2018,1st,Automatic,1.5 Petrol Titanium Plus AT,15000.0 km,Petrol,"₹ 8,61,000"
151,BMW,5 Series,2012,2nd,Automatic,530d Highline,"74,000 km",Diesel,"₹ 14,75,000"
152,Maruti Suzuki,Ciaz,2016,1st,Manual,2014-2017 VDi Plus SHVS,33000.0 km,Diesel,"₹ 6,65,000"
153,Jeep,Wrangler,2021,1st,Automatic,2.0 4x4,9500.0 km,Petrol,"₹ 60,00,000"
154,Aston Martin,V8 Vantage,2011,2nd,Automatic,V8 Sport,12000.0 km,Petrol,"₹ 65,00,000"
155,Maruti Suzuki,Vitara Brezza,2017,1st,Manual,VDi Option,25000.0 km,Diesel,"₹ 7,25,000"
156,Toyota,Corolla Altis,2010,2nd,Manual,2010-2013 Diesel D4DG,140000.0 km,Diesel,"₹ 3,99,000"
157,Audi,Q3,2018,1st,Automatic,2.0 TFSI Quattro Premium Plus,19000.0 km,Petrol,"₹ 28,45,000"
158,Maruti Suzuki,Swift Dzire,2016,1st,Manual,VXI 1.2,60713.0 km,Petrol,"₹ 4,95,000"
159,Mahindra,XUV500,2016,2nd,Manual,W10 2WD,65000.0 km,Diesel,"₹ 10,25,000"
160,Maruti Suzuki,Zen Estilo,2010,1st,Manual,1.1 LXI BSIII,61557.0 km,Petrol,"₹ 2,49,000"
